Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,1uF,
"C3, C4, C5, C6, C7, C8",0805,6,C,
C9,CP_Radial_D10.0mm_P5.00mm,1,C_Polarized,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D3, D4, D5, D6, D7, D8, D9",0805,25,LED,
J1,PinHeader_1x14_P2.54mm_Vertical,1,Conn_01x14_Pin,
J2,PinHeader_1x15_P2.54mm_Vertical,1,Conn_01x15_Pin,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"J4, J5","PhoenixContact_MCV_1,5_2-G-3.5_1x02_P3.50mm_Vertical",2,Screw_Terminal_01x02,
J6,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
"Q1, Q2",SOT-23,2,AO3400A,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R34, R35, R36, R37, R38, R39, R4, R40, R41, R42, R45, R46, R47, R48, R49, R5, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R6, R60, R61, R62, R63, R64, R65, R66, R67, R7, R8, R9",0805,62,R,
R31,0805,1,66k,
R32,0805,1,1k,
"R33, R43, R44",0805,3,10k,
"U1, U2",DIP-16_W7.62mm_Socket,2,ULN2003A,
U3,DIP-40_W15.24mm_Socket,1,~,
